date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:49:19	65201/65201	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202020%2012:26:45%20GMT	https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html	C:/Users/USER/Desktop/WibeExpress/BackendTemplate/demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html	(from )
12:49:20	2170/2170	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2002%20Jan%202021%2011:49:20%20GMT	https://demos.creative-tim.com/robots.txt		(from )
12:49:21	2446/2446	---M--	200	added ('OK')	image/png	etag:%225e381185-98e%22	https://demos.creative-tim.com/marketplace/black-dashboard-pro/assets/img/apple-icon.png	C:/Users/USER/Desktop/WibeExpress/BackendTemplate/demos.creative-tim.com/marketplace/black-dashboard-pro/assets/img/apple-icon.png	(from https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html)
12:49:21	2761/2761	---M--	200	added ('OK')	image/png	etag:%225e381185-ac9%22	https://demos.creative-tim.com/marketplace/black-dashboard-pro/assets/img/favicon.png	C:/Users/USER/Desktop/WibeExpress/BackendTemplate/demos.creative-tim.com/marketplace/black-dashboard-pro/assets/img/favicon.png	(from https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html)
12:49:24	106708/106708	---M--	200	added ('OK')	image/jpeg	etag:%226610d640878bba1d50bf49bb8008be0e%22	https://s3.amazonaws.com/creativetim_bucket/products/93/opt_bd_thumbnail.jpg	C:/Users/USER/Desktop/WibeExpress/BackendTemplate/s3.amazonaws.com/creativetim_bucket/products/93/opt_bd_thumbnail.jpg	(from https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html)
12:49:25	34734/34734	---MCZ	200	added ('OK')	text/css	etag:W/%2242eaa52604673b64d6b356c2fd7f87e3%22	https://use.fontawesome.com/releases/v5.0.6/css/all.css	C:/Users/USER/Desktop/WibeExpress/BackendTemplate/use.fontawesome.com/releases/v5.0.6/css/all.css	(from https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html)
12:49:25	7737/7737	---M-Z	200	added ('OK')	text/css	etag:W/%225e381185-1e39%22	https://demos.creative-tim.com/marketplace/black-dashboard-pro/assets/css/nucleo-icons.css	C:/Users/USER/Desktop/WibeExpress/BackendTemplate/demos.creative-tim.com/marketplace/black-dashboard-pro/assets/css/nucleo-icons.css	(from https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html)
12:49:25	533195/533195	---M-Z	200	added ('OK')	text/css	etag:W/%225e381185-822cb%22	https://demos.creative-tim.com/marketplace/black-dashboard-pro/assets/css/black-dashboard.min.css?v=1.1.1	C:/Users/USER/Desktop/WibeExpress/BackendTemplate/demos.creative-tim.com/marketplace/black-dashboard-pro/assets/css/black-dashboard.min3f71.css	(from https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html)
12:49:26	851/851	---M-Z	200	added ('OK')	text/css	etag:W/%225e381185-353%22	https://demos.creative-tim.com/marketplace/black-dashboard-pro/assets/demo/demo.css	C:/Users/USER/Desktop/WibeExpress/BackendTemplate/demos.creative-tim.com/marketplace/black-dashboard-pro/assets/demo/demo.css	(from https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html)
12:49:27	23579/23579	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202020%2012:26:45%20GMT	https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/pages/pricing.html	C:/Users/USER/Desktop/WibeExpress/BackendTemplate/demos.creative-tim.com/marketplace/black-dashboard-pro/examples/pages/pricing.html	(from https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html)
12:49:27	49780/49780	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202020%2012:26:45%20GMT	https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/pages/rtl.html	C:/Users/USER/Desktop/WibeExpress/BackendTemplate/demos.creative-tim.com/marketplace/black-dashboard-pro/examples/pages/rtl.html	(from https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html)
12:49:27	36096/36096	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202020%2012:26:45%20GMT	https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/pages/timeline.html	C:/Users/USER/Desktop/WibeExpress/BackendTemplate/demos.creative-tim.com/marketplace/black-dashboard-pro/examples/pages/timeline.html	(from https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html)
